RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,68.0,210.0,1.0,68.0,33.0,1.0,1.0,92.0,23.0,5.0,4.0,34.0,4.0,28.0,0.0,0.0,0.0,77.0,65.0,5.0,2.0,3.0,89.0
Good,69.0,159.0,14.0,67.0,22.0,1.0,1.0,100.0,-7.0,7.0,8.0,22.0,0.0,27.0,12.0,0.0,0.0,9.0,53.0,2.0,3.0,0.0,80.0
Bad,55.0,203.0,4.0,56.0,6.0,3.0,2.0,50.0,1.0,4.0,2.0,10.0,2.0,50.0,0.0,0.0,0.0,27.0,-8.0,4.0,1.0,0.0,67.0
Good,89.0,255.0,6.0,98.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,40.0,-7.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,23.0
Good,79.0,194.0,2.0,74.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,2.0,43.0,0.0,1.0,1.0,8.0,89.0,6.0,2.0,0.0,100.0
Good,91.0,201.0,1.0,108.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,1.0,25.0,0.0,1.0,1.0,2.0,-8.0,2.0,1.0,0.0,70.0
Good,68.0,179.0,7.0,94.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,1.0,40.0,0.0,1.0,1.0,8.0,-8.0,1.0,-8.0,0.0,63.0
Bad,80.0,182.0,20.0,83.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,0.0,43.0,-8.0,0.0,0.0,44.0,-8.0,5.0,2.0,1.0,55.0
Good,91.0,151.0,19.0,87.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,38.0,0.0,0.0,0.0,2.0,-8.0,3.0,1.0,0.0,67.0
Good,76.0,214.0,13.0,91.0,24.0,1.0,1.0,88.0,8.0,4.0,4.0,26.0,0.0,47.0,0.0,1.0,1.0,5.0,90.0,4.0,3.0,0.0,70.0
Bad,65.0,179.0,2.0,80.0,1.0,0.0,0.0,100.0,-7.0,7.0,8.0,52.0,3.0,42.0,0.0,3.0,3.0,-8.0,-8.0,-8.0,2.0,-8.0,100.0
Good,78.0,139.0,4.0,63.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,2.0,19.0,0.0,0.0,0.0,42.0,-8.0,3.0,1.0,0.0,86.0
Good,66.0,182.0,33.0,113.0,20.0,0.0,0.0,95.0,17.0,6.0,6.0,21.0,0.0,13.0,-8.0,0.0,0.0,17.0,-8.0,3.0,-8.0,0.0,18.0
Bad,88.0,196.0,20.0,99.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,50.0,-7.0,1.0,1.0,4.0,53.0,4.0,5.0,2.0,75.0
Bad,66.0,134.0,13.0,61.0,16.0,0.0,0.0,86.0,2.0,4.0,6.0,16.0,0.0,63.0,0.0,0.0,0.0,92.0,-8.0,3.0,2.0,3.0,100.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Bad,65.0,206.0,5.0,78.0,31.0,0.0,0.0,96.0,32.0,6.0,6.0,32.0,1.0,7.0,0.0,0.0,0.0,59.0,-8.0,12.0,1.0,4.0,86.0
Good,59.0,84.0,10.0,33.0,10.0,0.0,0.0,88.0,3.0,4.0,5.0,11.0,2.0,14.0,0.0,3.0,3.0,55.0,-8.0,5.0,1.0,1.0,73.0
Good,73.0,178.0,3.0,47.0,11.0,0.0,0.0,73.0,36.0,6.0,6.0,11.0,3.0,43.0,-7.0,1.0,1.0,8.0,97.0,4.0,3.0,0.0,64.0
Good,68.0,193.0,2.0,80.0,27.0,1.0,1.0,96.0,2.0,4.0,6.0,29.0,2.0,45.0,0.0,5.0,5.0,14.0,-8.0,4.0,1.0,0.0,41.0
Good,65.0,141.0,4.0,63.0,26.0,0.0,0.0,94.0,-8.0,6.0,6.0,25.0,4.0,31.0,0.0,2.0,2.0,62.0,76.0,7.0,3.0,2.0,86.0
Bad,68.0,16.0,3.0,16.0,7.0,0.0,0.0,89.0,9.0,4.0,6.0,7.0,6.0,17.0,2.0,2.0,2.0,67.0,76.0,4.0,1.0,4.0,100.0
Good,89.0,169.0,2.0,63.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,1.0,13.0,-7.0,0.0,0.0,0.0,-8.0,1.0,1.0,-8.0,44.0
Bad,71.0,167.0,2.0,68.0,42.0,0.0,0.0,100.0,-7.0,7.0,8.0,42.0,3.0,27.0,2.0,1.0,1.0,34.0,93.0,7.0,3.0,2.0,75.0
Good,80.0,176.0,4.0,75.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,1.0,41.0,0.0,0.0,0.0,4.0,-8.0,3.0,1.0,1.0,33.0
Good,86.0,199.0,28.0,78.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,0.0,29.0,0.0,1.0,1.0,0.0,-8.0,2.0,1.0,0.0,50.0
Good,74.0,183.0,16.0,111.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,0.0,15.0,0.0,3.0,3.0,37.0,-8.0,5.0,1.0,3.0,79.0
Good,85.0,161.0,6.0,89.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.0,54.0,-8.0,1.0,1.0,1.0,-8.0,4.0,2.0,0.0,47.0
Bad,74.0,127.0,17.0,65.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,25.0,-8.0,0.0,0.0,56.0,-8.0,5.0,-8.0,0.0,100.0
Good,83.0,215.0,34.0,93.0,34.0,1.0,1.0,100.0,-7.0,4.0,8.0,36.0,0.0,19.0,0.0,0.0,0.0,4.0,-8.0,3.0,-8.0,0.0,33.0
Bad,65.0,184.0,6.0,70.0,35.0,0.0,0.0,100.0,-7.0,7.0,8.0,38.0,2.0,43.0,0.0,9.0,9.0,90.0,-8.0,7.0,2.0,1.0,100.0
Good,85.0,590.0,3.0,104.0,37.0,0.0,0.0,100.0,-7.0,7.0,8.0,37.0,2.0,46.0,6.0,0.0,0.0,7.0,100.0,4.0,2.0,0.0,67.0
Good,82.0,166.0,4.0,75.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,1.0,27.0,-8.0,0.0,0.0,4.0,-8.0,5.0,2.0,0.0,60.0
Good,81.0,155.0,20.0,66.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,38.0,-8.0,0.0,0.0,42.0,-8.0,4.0,-8.0,0.0,80.0
Bad,70.0,161.0,15.0,87.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,38.0,0.0,0.0,0.0,65.0,-8.0,3.0,1.0,1.0,85.0
Good,72.0,161.0,4.0,59.0,24.0,0.0,0.0,93.0,6.0,4.0,6.0,25.0,1.0,13.0,0.0,1.0,1.0,8.0,-8.0,4.0,1.0,0.0,65.0
Good,84.0,176.0,2.0,93.0,34.0,0.0,0.0,100.0,-7.0,7.0,8.0,35.0,3.0,64.0,0.0,0.0,0.0,2.0,54.0,3.0,4.0,0.0,80.0
Good,77.0,166.0,19.0,93.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,0.0,54.0,0.0,1.0,1.0,18.0,79.0,1.0,3.0,0.0,100.0
Bad,88.0,-8.0,14.0,100.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,0.0,0.0,14.0,-7.0,0.0,0.0,24.0,-8.0,2.0,1.0,0.0,80.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Bad,66.0,179.0,5.0,62.0,43.0,0.0,0.0,88.0,1.0,4.0,6.0,49.0,4.0,23.0,0.0,2.0,2.0,7.0,-8.0,6.0,1.0,0.0,56.0
Good,70.0,197.0,5.0,89.0,15.0,0.0,0.0,93.0,28.0,6.0,6.0,15.0,2.0,29.0,0.0,0.0,0.0,48.0,50.0,3.0,2.0,1.0,75.0
Good,78.0,136.0,15.0,71.0,12.0,1.0,1.0,100.0,-7.0,7.0,8.0,12.0,0.0,0.0,1.0,1.0,1.0,12.0,-8.0,2.0,1.0,0.0,50.0
Bad,59.0,206.0,6.0,80.0,8.0,1.0,1.0,68.0,23.0,6.0,2.0,9.0,3.0,33.0,-7.0,1.0,1.0,90.0,-8.0,2.0,1.0,1.0,100.0
Bad,91.0,161.0,13.0,80.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,30.0,0.0,1.0,1.0,1.0,-8.0,2.0,1.0,0.0,70.0
Good,88.0,392.0,4.0,104.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,1.0,43.0,-8.0,0.0,0.0,1.0,54.0,3.0,2.0,0.0,78.0
Good,88.0,206.0,6.0,66.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,10.0,12.0,0.0,0.0,1.0,-8.0,1.0,1.0,0.0,46.0
Good,77.0,117.0,3.0,66.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,3.0,14.0,-7.0,0.0,0.0,26.0,-8.0,3.0,1.0,2.0,41.0
Bad,75.0,-8.0,8.0,65.0,2.0,0.0,0.0,100.0,-7.0,7.0,8.0,2.0,1.0,0.0,-7.0,0.0,0.0,0.0,-8.0,1.0,-8.0,-8.0,100.0
Good,89.0,183.0,12.0,110.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,0.0,29.0,-8.0,0.0,0.0,15.0,-8.0,2.0,1.0,0.0,83.0
Bad,64.0,32.0,2.0,12.0,4.0,0.0,0.0,100.0,-7.0,7.0,8.0,4.0,1.0,50.0,0.0,2.0,2.0,94.0,-8.0,1.0,1.0,0.0,75.0
Good,84.0,-8.0,2.0,108.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,41.0,0.0,0.0,0.0,12.0,-8.0,6.0,1.0,0.0,38.0
Good,74.0,233.0,6.0,99.0,23.0,0.0,0.0,95.0,-7.0,6.0,6.0,24.0,2.0,14.0,0.0,0.0,0.0,51.0,97.0,5.0,2.0,1.0,80.0
Good,81.0,199.0,7.0,101.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,1.0,31.0,0.0,1.0,1.0,10.0,75.0,2.0,2.0,1.0,60.0
Good,73.0,153.0,3.0,56.0,22.0,0.0,0.0,94.0,2.0,4.0,6.0,23.0,2.0,5.0,-7.0,1.0,1.0,20.0,80.0,6.0,3.0,1.0,67.0
Bad,72.0,166.0,2.0,66.0,31.0,0.0,0.0,96.0,23.0,6.0,6.0,31.0,4.0,22.0,0.0,0.0,0.0,29.0,-8.0,6.0,1.0,1.0,70.0
Bad,65.0,154.0,4.0,54.0,11.0,1.0,1.0,100.0,-7.0,6.0,8.0,13.0,1.0,50.0,-7.0,1.0,1.0,96.0,65.0,2.0,3.0,1.0,100.0
Bad,59.0,132.0,9.0,51.0,31.0,0.0,0.0,94.0,2.0,4.0,6.0,32.0,1.0,28.0,0.0,2.0,2.0,45.0,89.0,6.0,3.0,0.0,75.0
Bad,84.0,161.0,11.0,73.0,6.0,1.0,1.0,100.0,-7.0,7.0,8.0,6.0,1.0,42.0,12.0,0.0,0.0,2.0,-8.0,2.0,1.0,0.0,50.0
Good,72.0,153.0,4.0,48.0,28.0,0.0,0.0,95.0,46.0,6.0,6.0,29.0,2.0,13.0,0.0,3.0,3.0,21.0,100.0,6.0,3.0,1.0,67.0
Good,78.0,206.0,3.0,91.0,22.0,0.0,0.0,96.0,50.0,6.0,6.0,24.0,2.0,24.0,8.0,0.0,0.0,8.0,-8.0,2.0,1.0,0.0,33.0
Bad,77.0,246.0,10.0,88.0,22.0,0.0,0.0,94.0,14.0,6.0,6.0,23.0,1.0,29.0,10.0,0.0,0.0,30.0,-8.0,5.0,1.0,0.0,60.0
Bad,86.0,187.0,16.0,100.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,0.0,40.0,-7.0,0.0,0.0,1.0,-8.0,1.0,2.0,0.0,67.0
Good,56.0,167.0,2.0,62.0,13.0,1.0,1.0,90.0,-7.0,7.0,8.0,14.0,2.0,33.0,2.0,3.0,3.0,60.0,-8.0,5.0,1.0,2.0,86.0
Good,82.0,151.0,2.0,87.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.0,3.0,35.0,-7.0,1.0,1.0,18.0,-8.0,1.0,1.0,0.0,42.0
Good,91.0,205.0,14.0,111.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,17.0,0.0,0.0,0.0,21.0,-8.0,6.0,1.0,0.0,100.0
Good,80.0,217.0,20.0,98.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,0.0,25.0,-7.0,0.0,0.0,38.0,-8.0,2.0,-8.0,0.0,25.0
Good,88.0,151.0,2.0,85.0,46.0,0.0,0.0,98.0,7.0,4.0,6.0,51.0,3.0,38.0,6.0,0.0,0.0,6.0,62.0,10.0,3.0,0.0,71.0
Good,89.0,132.0,1.0,55.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,6.0,18.0,-7.0,0.0,0.0,3.0,-8.0,2.0,3.0,0.0,44.0
Bad,55.0,47.0,10.0,13.0,5.0,4.0,2.0,67.0,0.0,0.0,2.0,9.0,3.0,25.0,0.0,1.0,1.0,80.0,74.0,8.0,2.0,1.0,100.0
Good,67.0,198.0,5.0,91.0,19.0,0.0,0.0,94.0,0.0,6.0,6.0,19.0,1.0,53.0,0.0,0.0,0.0,15.0,82.0,2.0,3.0,0.0,62.0
Good,82.0,155.0,3.0,63.0,18.0,0.0,0.0,82.0,-8.0,6.0,6.0,18.0,2.0,32.0,1.0,1.0,1.0,1.0,-8.0,3.0,2.0,0.0,65.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,82.0,242.0,13.0,75.0,24.0,0.0,0.0,93.0,21.0,6.0,6.0,25.0,0.0,25.0,-7.0,1.0,1.0,19.0,-8.0,2.0,1.0,1.0,50.0
Good,84.0,183.0,2.0,62.0,39.0,0.0,0.0,100.0,-7.0,7.0,8.0,39.0,2.0,17.0,0.0,1.0,1.0,9.0,-8.0,4.0,1.0,0.0,50.0
Good,85.0,183.0,28.0,97.0,32.0,0.0,0.0,89.0,2.0,4.0,6.0,33.0,0.0,25.0,7.0,0.0,0.0,0.0,-8.0,2.0,1.0,0.0,42.0
Bad,64.0,128.0,6.0,37.0,17.0,0.0,0.0,100.0,-8.0,7.0,8.0,17.0,2.0,36.0,0.0,0.0,0.0,56.0,-8.0,4.0,2.0,1.0,91.0
Good,90.0,-8.0,34.0,89.0,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,8.0,-8.0,0.0,0.0,1.0,-8.0,2.0,1.0,0.0,100.0
Good,66.0,-8.0,14.0,101.0,25.0,1.0,1.0,97.0,27.0,6.0,6.0,26.0,0.0,29.0,0.0,0.0,0.0,46.0,-8.0,7.0,1.0,1.0,89.0
Good,67.0,203.0,12.0,104.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,0.0,44.0,-7.0,0.0,0.0,95.0,82.0,6.0,2.0,2.0,100.0
Good,56.0,93.0,0.0,42.0,9.0,0.0,0.0,93.0,40.0,6.0,6.0,9.0,2.0,50.0,0.0,0.0,0.0,93.0,-8.0,2.0,3.0,3.0,100.0
Good,76.0,209.0,13.0,76.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,14.0,0.0,2.0,2.0,60.0,93.0,11.0,3.0,1.0,80.0
Bad,54.0,202.0,8.0,101.0,23.0,0.0,0.0,86.0,4.0,4.0,6.0,24.0,1.0,56.0,-7.0,0.0,0.0,37.0,-8.0,5.0,2.0,1.0,69.0
Good,70.0,72.0,21.0,40.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,15.0,2.0,4.0,4.0,99.0,-8.0,9.0,1.0,1.0,100.0
Bad,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Bad,58.0,149.0,3.0,67.0,24.0,0.0,0.0,85.0,5.0,4.0,6.0,26.0,3.0,46.0,0.0,0.0,0.0,60.0,77.0,3.0,3.0,3.0,83.0
Good,88.0,184.0,16.0,96.0,14.0,0.0,0.0,100.0,-7.0,6.0,7.0,14.0,0.0,15.0,5.0,0.0,0.0,1.0,-8.0,4.0,1.0,0.0,67.0
Good,62.0,306.0,12.0,103.0,31.0,0.0,0.0,93.0,1.0,4.0,6.0,31.0,0.0,36.0,0.0,0.0,0.0,33.0,-8.0,5.0,1.0,1.0,19.0
Good,74.0,140.0,9.0,54.0,10.0,0.0,0.0,91.0,44.0,6.0,6.0,11.0,2.0,55.0,-7.0,0.0,0.0,24.0,74.0,4.0,3.0,0.0,80.0
Bad,71.0,200.0,1.0,84.0,18.0,0.0,0.0,93.0,4.0,4.0,6.0,18.0,2.0,33.0,4.0,1.0,1.0,1.0,-8.0,4.0,1.0,0.0,38.0
Bad,72.0,132.0,8.0,67.0,11.0,0.0,0.0,89.0,3.0,4.0,6.0,12.0,1.0,40.0,0.0,0.0,0.0,4.0,-8.0,2.0,1.0,0.0,50.0
Good,76.0,196.0,1.0,85.0,35.0,0.0,0.0,100.0,-7.0,7.0,8.0,35.0,3.0,41.0,1.0,1.0,1.0,3.0,100.0,3.0,4.0,-8.0,53.0
Good,72.0,193.0,7.0,69.0,36.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.0,2.0,25.0,-7.0,1.0,1.0,43.0,94.0,3.0,3.0,2.0,67.0
Good,84.0,203.0,7.0,89.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,1.0,58.0,-7.0,0.0,0.0,9.0,95.0,6.0,2.0,0.0,62.0
Good,81.0,179.0,7.0,76.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,2.0,47.0,1.0,1.0,1.0,60.0,83.0,7.0,2.0,1.0,100.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,21.0,3.0,17.0,15.0,2.0,0.0,0.0,100.0,-7.0,7.0,8.0,4.0,0.0,50.0,0.0,0.0,0.0,59.0,-8.0,1.0,1.0,1.0,100.0
Bad,84.0,192.0,15.0,84.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,0.0,22.0,0.0,0.0,0.0,2.0,88.0,4.0,2.0,0.0,75.0
Good,82.0,169.0,6.0,78.0,53.0,0.0,0.0,100.0,-7.0,7.0,8.0,53.0,2.0,42.0,0.0,2.0,2.0,32.0,75.0,7.0,7.0,0.0,80.0
Bad,74.0,146.0,10.0,52.0,10.0,0.0,0.0,91.0,13.0,6.0,6.0,11.0,1.0,14.0,0.0,0.0,0.0,4.0,-8.0,1.0,1.0,0.0,80.0
Good,85.0,159.0,9.0,72.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,1.0,53.0,-7.0,0.0,0.0,29.0,-8.0,7.0,1.0,2.0,100.0
Bad,56.0,160.0,1.0,80.0,8.0,2.0,2.0,67.0,5.0,3.0,2.0,9.0,1.0,25.0,-7.0,0.0,0.0,81.0,100.0,5.0,3.0,2.0,81.0
Good,82.0,158.0,3.0,82.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,1.0,5.0,0.0,2.0,2.0,35.0,-8.0,6.0,1.0,1.0,43.0
Good,61.0,204.0,8.0,99.0,25.0,0.0,0.0,94.0,37.0,6.0,6.0,26.0,2.0,25.0,0.0,2.0,2.0,61.0,90.0,7.0,2.0,4.0,77.0
Bad,69.0,169.0,2.0,58.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,34.0,2.0,49.0,0.0,2.0,2.0,41.0,-8.0,4.0,2.0,1.0,86.0
Good,83.0,394.0,5.0,170.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,1.0,44.0,0.0,2.0,2.0,11.0,87.0,3.0,2.0,0.0,74.0
Good,80.0,186.0,11.0,99.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,1.0,36.0,0.0,1.0,1.0,26.0,91.0,3.0,3.0,1.0,64.0
Good,75.0,226.0,8.0,107.0,19.0,1.0,0.0,75.0,21.0,6.0,5.0,20.0,1.0,23.0,-7.0,0.0,0.0,6.0,-8.0,3.0,1.0,0.0,56.0
Good,65.0,187.0,4.0,69.0,31.0,2.0,2.0,80.0,1.0,1.0,2.0,33.0,2.0,30.0,3.0,1.0,1.0,31.0,-8.0,4.0,2.0,0.0,80.0
Good,64.0,206.0,4.0,56.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,24.0,-7.0,1.0,1.0,82.0,-8.0,8.0,3.0,4.0,100.0
Bad,80.0,178.0,21.0,70.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,20.0,13.0,0.0,0.0,4.0,-8.0,2.0,1.0,0.0,64.0
Good,86.0,158.0,5.0,83.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,3.0,11.0,0.0,0.0,0.0,3.0,-8.0,4.0,1.0,0.0,88.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,86.0,216.0,36.0,98.0,13.0,0.0,0.0,93.0,11.0,4.0,6.0,13.0,0.0,15.0,0.0,0.0,0.0,13.0,-8.0,3.0,-8.0,0.0,100.0
Bad,72.0,159.0,21.0,80.0,10.0,0.0,0.0,94.0,35.0,6.0,6.0,11.0,0.0,33.0,-7.0,0.0,0.0,59.0,-8.0,4.0,1.0,2.0,45.0
Good,80.0,194.0,14.0,94.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,0.0,31.0,-8.0,0.0,0.0,3.0,-8.0,2.0,1.0,0.0,60.0
Good,82.0,140.0,16.0,71.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,40.0,-8.0,0.0,0.0,-8.0,-8.0,0.0,1.0,-8.0,67.0
Bad,70.0,77.0,4.0,75.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.0,2.0,52.0,-8.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,100.0
Good,70.0,182.0,3.0,54.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,13.0,1.0,3.0,3.0,41.0,-8.0,3.0,1.0,0.0,48.0
Good,84.0,102.0,4.0,48.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,5.0,44.0,7.0,0.0,0.0,8.0,-8.0,4.0,2.0,0.0,48.0
Bad,77.0,204.0,6.0,71.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,3.0,53.0,0.0,0.0,0.0,21.0,67.0,3.0,3.0,0.0,63.0
Good,79.0,142.0,13.0,82.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,0.0,36.0,0.0,1.0,1.0,12.0,-8.0,4.0,2.0,1.0,57.0
Bad,60.0,154.0,6.0,72.0,54.0,0.0,0.0,100.0,-7.0,7.0,8.0,52.0,4.0,13.0,2.0,2.0,2.0,85.0,-8.0,12.0,2.0,6.0,85.0
Good,91.0,161.0,13.0,113.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,0.0,33.0,10.0,0.0,0.0,5.0,-8.0,2.0,1.0,0.0,75.0
Bad,58.0,150.0,1.0,28.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,9.0,35.0,-7.0,2.0,2.0,94.0,93.0,7.0,4.0,2.0,80.0
Good,87.0,198.0,20.0,112.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,0.0,17.0,0.0,0.0,0.0,5.0,-8.0,2.0,1.0,0.0,46.0
Good,84.0,176.0,6.0,68.0,45.0,0.0,0.0,100.0,-7.0,7.0,8.0,48.0,2.0,5.0,-7.0,0.0,0.0,3.0,-8.0,2.0,1.0,0.0,29.0
Good,87.0,152.0,18.0,85.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,0.0,29.0,0.0,0.0,0.0,1.0,76.0,2.0,2.0,0.0,75.0
Bad,79.0,153.0,4.0,66.0,18.0,0.0,0.0,95.0,23.0,6.0,6.0,18.0,2.0,31.0,0.0,6.0,6.0,26.0,-8.0,3.0,2.0,0.0,73.0
Bad,80.0,200.0,6.0,89.0,5.0,0.0,0.0,100.0,-7.0,7.0,8.0,5.0,1.0,50.0,-8.0,0.0,0.0,33.0,-8.0,2.0,-8.0,0.0,100.0
Good,81.0,-8.0,2.0,51.0,11.0,1.0,0.0,83.0,16.0,6.0,4.0,12.0,5.0,24.0,0.0,2.0,2.0,9.0,64.0,1.0,2.0,1.0,50.0
Bad,76.0,-8.0,6.0,25.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,5.0,35.0,0.0,0.0,0.0,12.0,72.0,2.0,2.0,0.0,36.0
Bad,81.0,257.0,12.0,113.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,0.0,18.0,0.0,0.0,0.0,6.0,-8.0,4.0,1.0,0.0,73.0
Bad,72.0,165.0,2.0,61.0,27.0,1.0,1.0,97.0,37.0,6.0,6.0,28.0,4.0,38.0,0.0,1.0,1.0,34.0,96.0,6.0,5.0,1.0,56.0
Good,83.0,166.0,4.0,69.0,11.0,0.0,0.0,93.0,67.0,6.0,6.0,12.0,3.0,38.0,0.0,2.0,2.0,6.0,93.0,4.0,2.0,0.0,33.0
Good,76.0,146.0,3.0,68.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,2.0,50.0,-7.0,1.0,1.0,18.0,68.0,1.0,4.0,0.0,80.0
Bad,57.0,-8.0,17.0,69.0,4.0,1.0,1.0,75.0,25.0,6.0,2.0,1.0,0.0,100.0,-8.0,0.0,0.0,25.0,95.0,1.0,2.0,-8.0,100.0
Good,66.0,188.0,5.0,71.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,3.0,50.0,0.0,0.0,0.0,57.0,72.0,5.0,3.0,4.0,88.0
Bad,58.0,37.0,8.0,9.0,1.0,0.0,0.0,71.0,39.0,6.0,6.0,2.0,1.0,53.0,0.0,2.0,2.0,-8.0,-8.0,1.0,1.0,-8.0,100.0
